Date,Open,High,Low,Close,Volume
2019-02-27,98.12,98.39,97.59,98.11,7901312
2019-02-28,98.11,99.47,97.77,98.99,11298690
2019-03-01,99.47,99.56,97.12,97.93,10305760
2019-03-04,98.12,98.59,97.37,97.85,7676015
2019-03-05,98.13,99.19,98.0908,98.34,5988401
2019-03-06,98.27,99,97.86,98.26,4696570
2019-03-07,97.71,98.2,97.235,97.45,6015224
2019-03-08,97.55,98.42,97,97.59,5658967
2019-03-11,98.04,98.58,97.82,98.48,5344505
2019-03-12,98.53,98.74,98.05,98.37,5070544
2019-03-13,98.7,99.35,98.39,99.03,5455072
2019-03-14,98.41,98.43,97.59,98.22,4925791
2019-03-15,98.28,98.5103,97.6,98.42,14599990
2019-03-18,98.3,99.77,98.26,99.66,5637647
2019-03-19,99.99,100.49,99.57,99.85,5375443
2019-03-20,99.2,99.55,98.54,98.64,6189275
2019-03-21,98.25,99.13,98.1,99.06,6543074
2019-03-22,98.58,99.53,97.94,98.28,6592107
2019-03-25,97.8,98.62,97.63,98.17,5354456
2019-03-26,98.36,98.85,98.03,98.32,4945864
2019-03-27,98.14,98.86,96.96,97.21,8417675
2019-03-28,97.59,97.87,96.53,97.13,7659115
2019-03-29,97.59,97.67,97.04,97.53,7439291
2019-04-01,97.97,98.36,97.56,97.82,8298017
2019-04-02,97.76,98.31,96.9,96.94,6272460
2019-04-03,97.12,97.4,96.79,97.19,5613857
2019-04-04,97.25,98.28,97.24,98.11,4025495
2019-04-05,98.25,99.2,98.16,98.83,4655041
2019-04-08,98.45,99.25,98.26,99.23,5421832
2019-04-09,98.8,99.23,98.15,98.69,4364761
2019-04-10,98.51,99.72,98.5,99.6,3872575
2019-04-11,99.7,100.83,99.47,100.8,5606075
2019-04-12,101,102.02,101,101.56,5160540
2019-04-15,101.3,102.91,101.26,102.43,5111777
2019-04-16,102.89,103.39,102.54,102.93,4827316
2019-04-17,103,103.4,102.4064,103.16,3729181
2019-04-18,103.11,103.8,102.89,103.18,3727801
2019-04-22,102.78,103.54,102.17,102.37,5079392
2019-04-23,102.53,103.29,101.941,103.07,5041302
2019-04-24,103.14,103.85,103.09,103.53,4696574
2019-04-25,103.24,104.145,102.83,103.52,3949259
2019-04-26,100.45,102.34,99.66,101.53,8107390
2019-04-29,101.88,102,100.78,101.56,6378701
2019-04-30,101.77,102.92,101.45,102.84,6133623
2019-05-01,102.77,102.81,101.28,101.36,5337207
2019-05-02,101.43,102.06,100.2351,101.15,5006973
