Date,Open,High,Low,Close,Volume
2019-02-27,43.3025,43.75,43.1825,43.7175,111270560
2019-02-28,43.58,43.7275,43.23,43.2875,111815240
2019-03-01,43.57,43.7875,43.2225,43.7425,102950240
2019-03-04,43.9225,44.4375,43.4925,43.9625,109652240
2019-03-05,43.985,44,43.635,43.8825,76953920
2019-03-06,43.6675,43.8725,43.485,43.63,83020560
2019-03-07,43.4675,43.61,43.005,43.125,99021880
2019-03-08,42.58,43.2675,42.375,43.2275,95943840
2019-03-11,43.8725,44.78,43.8375,44.725,124492000
2019-03-12,45,45.6675,44.8425,45.2275,129667200
2019-03-13,45.5625,45.825,45.23,45.4275,123718960
2019-03-14,45.975,46.025,45.64,45.9325,94110640
2019-03-15,46.2125,46.8325,45.935,46.53,156069960
2019-03-18,46.45,47.0975,46.4475,47.005,104594360
2019-03-19,47.0875,47.2475,46.48,46.6325,125761200
2019-03-20,46.5575,47.3725,46.1825,47.04,124013520
2019-03-21,47.505,49.0825,47.4525,48.7725,203772480
2019-03-22,48.835,49.4225,47.695,47.7625,169150560
2019-03-25,47.8775,47.995,46.65,47.185,175007240
2019-03-26,47.916,48.22,46.145,46.6975,198784400
2019-03-27,47.1875,47.44,46.6375,47.1175,119084840
2019-03-28,47.2375,47.3897,46.8825,47.18,82841560
2019-03-29,47.4575,47.52,47.135,47.4875,94099320
2019-04-01,47.91,47.92,47.095,47.81,109232800
2019-04-02,47.7725,48.615,47.7625,48.505,90909480
2019-04-03,48.3125,49.125,48.2875,48.8375,92972640
2019-04-04,48.6975,49.0925,48.285,48.9225,76360200
2019-04-05,49.1125,49.275,48.9825,49.25,73892280
2019-04-08,49.105,50.0575,49.085,50.025,103319520
2019-04-09,50.08,50.7125,49.8075,49.875,142953120
2019-04-10,49.67,50.185,49.545,50.155,86619000
2019-04-11,50.2125,50.25,49.6108,49.7375,82172760
2019-04-12,49.8,50.035,49.0525,49.7175,110954320
2019-04-15,49.645,49.9625,49.5025,49.8075,70096600
2019-04-16,49.865,50.3425,49.64,49.8125,102673320
2019-04-17,49.885,50.845,49.6525,50.7825,115461240
2019-04-18,50.78,51.0375,50.63,50.965,96742120
2019-04-22,50.7075,51.235,50.585,51.1325,71367680
2019-04-23,51.1075,51.9375,50.975,51.87,93145520
2019-04-24,51.84,52.12,51.7625,51.79,69710280
2019-04-25,51.7075,51.94,51.28,51.32,73855400
2019-04-26,51.225,51.25,50.53,51.075,74451080
2019-04-29,51.1,51.4925,50.965,51.1525,88041440
2019-04-30,50.765,50.85,49.7775,50.1675,183004640
2019-05-01,52.47,53.8275,52.3075,52.63,259309320
2019-05-02,52.46,53.1625,52.0325,52.2875,127985280
2019-05-03,52.7225,52.96,52.5575,52.9375,83569520
2019-05-06,51.0725,52.21,50.875,52.12,129772440
2019-05-07,51.47,51.8544,50.2062,50.715,155054800
2019-05-08,50.475,51.335,50.4375,50.725,105358000
2019-05-09,50.1,50.42,49.165,50.18,139634440
2019-05-10,49.3548,49.7125,48.1925,49.295,164834840
2019-05-13,46.9275,47.37,45.7125,46.43,229722480
2019-05-14,46.6025,47.425,46.3525,47.165,146118720
2019-05-15,46.5675,47.9375,46.505,47.73,106178880
2019-05-16,47.4775,48.1172,47.21,47.52,132125440
2019-05-17,46.7325,47.725,46.69,47.25,131516360
2019-05-20,45.88,46.0872,45.071,45.7725,154449160
2019-05-21,46.305,47,46.175,46.65,113459400
2019-05-22,46.165,46.4275,45.6375,45.695,118994240
2019-05-23,44.95,45.135,44.4525,44.915,146118960
2019-05-24,45.05,45.535,44.655,44.7425,94858760
2019-05-28,44.73,45.1475,44.4775,44.5575,111792640
2019-05-29,44.105,44.8375,44,44.345,113924680
2019-05-30,44.4875,44.8075,44.1675,44.575,84873640
2019-05-31,44.0575,44.4975,43.7475,43.7675,108174320
2019-06-03,43.9,44.48,42.5675,43.325,161584280
2019-06-04,43.86,44.9575,43.63,44.91,123871840
2019-06-05,46.07,46.2475,45.285,45.635,119093720
2019-06-06,45.77,46.3675,45.5372,46.305,90105240
2019-06-07,46.6275,47.98,46.4425,47.5375,122737560
2019-06-10,47.9525,48.8425,47.905,48.145,104883400
2019-06-11,48.715,49,48.4,48.7025,107731520
2019-06-12,48.4875,48.9925,48.3462,48.5475,73012760
2019-06-13,48.675,49.1975,48.4,48.5375,86698520
2019-06-14,47.8862,48.3966,47.575,48.185,75045880
2019-06-17,48.225,48.74,48.0425,48.4725,58676560
2019-06-18,49.0125,50.0725,48.8025,49.6125,106204000
2019-06-19,49.92,49.97,49.3275,49.4675,84496960
2019-06-20,50.0925,50.1525,49.5075,49.865,86055960
2019-06-21,49.7,50.2125,49.5375,49.695,191202360
2019-06-24,49.635,50.04,49.5425,49.645,72881680
2019-06-25,49.6075,49.815,48.8225,48.8925,84281320
2019-06-26,49.4425,50.2475,49.3375,49.95,104270040
2019-06-27,50.0725,50.3925,49.8925,49.935,83598880
2019-06-28,49.67,49.8738,49.2625,49.48,124442560
2019-07-01,50.7925,51.1225,50.1625,50.3875,109266960
2019-07-02,50.3525,50.7831,50.34,50.6825,67740880
2019-07-03,50.82,51.11,50.6725,51.1025,45448200
2019-07-05,50.8375,51.27,50.725,51.0575,69062080
2019-07-08,50.2025,50.35,49.6025,50.005,101354520
2019-07-09,49.8,50.3775,49.7025,50.31,82312080
2019-07-10,50.4625,50.9325,50.39,50.8075,71588560
2019-07-11,50.8275,51.0975,50.4275,50.4375,80767360
2019-07-12,50.6125,51,50.55,50.825,70380840
2019-07-15,51.0225,51.4675,51,51.3025,67789680
2019-07-16,51.1475,51.5275,50.875,51.125,67467280
2019-07-17,51.0125,51.2729,50.8175,50.8375,56429800
2019-07-18,51,51.47,50.925,51.415,74328640
2019-07-19,51.4475,51.625,50.59,50.6475,83717240
2019-07-22,50.9125,51.8075,50.9025,51.805,89111720
2019-07-23,52.115,52.2275,51.8225,52.21,73420840
2019-07-24,51.9175,52.2875,51.7925,52.1675,59966280
2019-07-25,52.2225,52.31,51.6825,51.755,55638240
2019-07-26,51.87,52.4325,51.785,51.935,70475480
2019-07-29,52.115,52.66,52.11,52.42,86693560
2019-07-30,52.19,52.54,51.8275,52.195,135742880
2019-07-31,54.105,55.3425,52.825,53.26,277125440
